DecisionID,Date,Decision,Reason,AlternativesConsidered,MembersInvolved,Impact,Status
D-001,2026-07-17,Use Django as the primary web framework,The original proposal expected rapid full-stack development,React with a separate API; Flask,All members,Retained as historical proposal evidence but not used by the implemented application,Superseded
D-002,2026-07-17,Implement explainable lost-found item matching as the intelligent function,It directly addresses the project brief and can be evaluated with labelled examples,Image classification; external generative AI API,All members,The implemented matcher remains deterministic and requires human confirmation,Implemented
D-003,2026-08-11,"Use Next.js, React, TypeScript, MongoDB, and Mongoose for the implemented application",The integrated typed stack supports pages APIs validation and document persistence without a separate service deployment,Django; React with a separate API,All members,Defines the implemented architecture and deployment model,Implemented
D-004,2026-09-15,Use five local course-appropriate WebP illustrations,Local assets avoid external tracking broken third-party URLs and unnecessary runtime image services,Remote stock images; an external image API,All members,Adds contextual visuals without adding a dependency or external data flow,Implemented
D-005,2026-09-15,Use dependency-free CSS conic-gradient doughnut charts in Administrator Overview,The three sections need quick visual comparison while the existing accessible totals remain the source of truth,A charting dependency; SVG charts,All members,Improves overview readability without increasing the dependency surface,Implemented
D-006,2026-09-15,Decode rotate and re-encode uploaded JPEG PNG and WebP files with Sharp,Re-encoding removes retained EXIF metadata and normalises accepted images,Store the original upload; client-only processing,All members,Reduces privacy risk while preserving the existing upload workflow,Implemented
D-007,2026-09-15,Use one shared strict JSON request reader with a 16 KB limit,Bounded parsing and consistent errors replace repeated request-body implementations,Per-route parsers; unbounded request.json calls,All members,Reduces duplication and limits oversized JSON requests,Implemented
D-008,2026-09-15,Apply process-local rate limits to authentication member writes and privileged writes,The course project needs basic abuse resistance without production-scale infrastructure,No rate limits; external Redis-backed rate limiting,All members,Protects sensitive operations while keeping setup simple and documented,Implemented
D-009,2026-09-15,Provide an idempotent reference-data bootstrap command,Fresh databases need repeatable categories and campus locations without overwriting administrator edits,Manual database entry; destructive reseeding,All members,Improves setup repeatability and preserves existing records,Implemented
D-010,2026-09-15,Make legacy external photo URL cleanup a dry-run audit by default,Historical data must be inspected safely before any database mutation,Automatic deletion; keeping unreviewed external URLs forever,All members,Allows measured cleanup with an explicit apply option and optimistic concurrency,Implemented
D-011,2026-09-15,Evaluate matching with a separate labelled synthetic dataset,The intelligent feature needs reproducible precision recall F1 accuracy and top-match evidence,Only unit examples; a trained model benchmark,All members,Produces transparent course-level evidence and documents dataset limitations,Implemented
